Time (s),Channel 1 (V)
-0.001108173,-0.287806027
-0.001101923,-0.38589792
-0.001095673,-0.500338461
-0.001089423,-0.573907381
-0.001083173,-0.671999274
-0.001076923,-0.745568193
-0.001070673,-0.85183441
-0.001064423,-0.900880357
-0.001058173,-0.958100628
-0.001051923,-0.966274952
-0.001045673,-0.974449276
-0.001039423,-0.99897225
-0.001033173,-0.949926303
-0.001026923,-0.917229006
-0.001020673,-0.860008735
-0.001014423,-0.819137113
-0.001008173,-0.745568193
-0.001001923,-0.688347923
-0.000995673,-0.639301976
-0.000989423,-0.598430354
-0.000983173,-0.565733057
-0.000976923,-0.549384408
-0.000970673,-0.541210083
-0.000964423,-0.541210083
-0.000958173,-0.582081705
-0.000951923,-0.639301976
-0.000945673,-0.663824949
-0.000939423,-0.753742518
-0.000933173,-0.819137113
-0.000926923,-0.85183441
-0.000920673,-0.917229006
-0.000914423,-0.949926303
-0.000908173,-0.974449276
-0.000901923,-0.99897225
-0.000895673,-1.015320898
-0.000889423,-0.949926303
-0.000883173,-0.92540333
-0.000876923,-0.860008735
-0.000870673,-0.761916842
-0.000864423,-0.639301976
-0.000858173,-0.549384408
-0.000851923,-0.418595217
-0.000845673,-0.279631703
-0.000839423,-0.189714134
-0.000833173,-0.091622242
-0.000826923,0.0228183
-0.000820673,0.071864246
-0.000814423,0.120910193
-0.000808173,0.145433166
-0.000801923,0.137258842
-0.000795673,0.112735868
-0.000789423,0.039166949
-0.000783173,-0.018053322
-0.000776923,-0.091622242
-0.000770673,-0.148842512
-0.000764423,-0.238760081
-0.000758173,-0.304154676
-0.000751923,-0.336851973
-0.000745673,-0.394072244
-0.000739423,-0.38589792
-0.000733173,-0.410420893
-0.000726923,-0.377723595
-0.000720673,-0.295980351
-0.000714423,-0.263283054
-0.000708173,-0.18153981
-0.000701923,-0.165191161
-0.000695673,-0.099796566
-0.000689423,-0.034401971
-0.000683173,-0.026227646
-0.000676923,-0.009878998
-0.000670673,-0.05075062
-0.000664423,-0.042576295
-0.000658173,-0.091622242
-0.000651923,-0.132493864
-0.000645673,-0.214237107
-0.000639423,-0.271457378
-0.000633173,-0.328677649
-0.000626923,-0.377723595
-0.000620673,-0.426769542
-0.000614423,-0.418595217
-0.000608173,-0.459466839
-0.000601923,-0.451292515
-0.000595673,-0.418595217
-0.000589423,-0.410420893
-0.000583173,-0.369549271
-0.000576923,-0.320503325
-0.000570673,-0.230585756
-0.000564423,-0.18153981
-0.000558173,-0.132493864
-0.000551923,-0.05075062
-0.000545673,0.014643976
-0.000539423,0.006469651
-0.000533173,0.088212895
-0.000526923,0.080038571
-0.000520673,0.088212895
-0.000514423,0.080038571
-0.000508173,0.047341273
-0.000501923,0.0228183
-0.000495673,-0.058924944
-0.000489423,-0.148842512
-0.000483173,-0.279631703
-0.000476923,-0.394072244
-0.000470673,-0.565733057
-0.000464423,-0.663824949
-0.000458173,-0.819137113
-0.000451923,-0.949926303
-0.000445673,-1.05619252
-0.000439423,-1.186981711
-0.000433173,-1.252376306
-0.000426923,-1.358642523
-0.000420673,-1.374991172
-0.000414423,-1.40768847
-0.000408173,-1.473083065
-0.000401923,-1.46490874
-0.000395673,-1.424037118
-0.000389423,-1.432211443
-0.000383173,-1.399514145
-0.000376923,-1.342293874
-0.000370673,-1.325945226
-0.000364423,-1.236027657
-0.000358173,-1.170633062
-0.000351923,-1.05619252
-0.000345673,-0.990797925
-0.000339423,-0.92540333
-0.000333173,-0.827311437
-0.000326923,-0.770091167
-0.000320673,-0.622953327
-0.000314423,-0.59025603
-0.000308173,-0.524861435
-0.000301923,-0.467641164
