x-axis,1
second,Volt
-10.00000E-03,-133.16584E-03
-9.97500E-03,-133.16584E-03
-9.95000E-03,-133.16584E-03
-9.92500E-03,-133.16584E-03
-9.90000E-03,-130.58896E-03
-9.87500E-03,-76.08544E-03
-9.85000E-03,-133.16584E-03
-9.82500E-03,-117.57488E-03
-9.80000E-03,-57.91760E-03
-9.77500E-03,-107.26736E-03
-9.75000E-03,-86.52264E-03
-9.72500E-03,-133.16584E-03
-9.70000E-03,-133.16584E-03
-9.67500E-03,-81.23920E-03
-9.65000E-03,-83.94576E-03
-9.62500E-03,-143.60305E-03
-9.60000E-03,-63.07136E-03
-9.57500E-03,-182.51561E-03
-9.55000E-03,-81.36888E-03
-9.52500E-03,-133.16584E-03
-9.50000E-03,-78.53264E-03
-9.47500E-03,-86.39296E-03
-9.45000E-03,-133.16584E-03
-9.42500E-03,-133.16584E-03
-9.40000E-03,-52.76383E-03
-9.37500E-03,-96.95984E-03
-9.35000E-03,-133.16584E-03
-9.32500E-03,-133.16584E-03
-9.30000E-03,-115.12768E-03
-9.27500E-03,-94.38296E-03
-9.25000E-03,-133.16584E-03
-9.22500E-03,-133.03616E-03
-9.20000E-03,-112.55080E-03
-9.17500E-03,-94.12360E-03
-9.15000E-03,-114.86832E-03
-9.12500E-03,-130.71864E-03
-9.10000E-03,-75.95576E-03
-9.07500E-03,-52.76383E-03
-9.05000E-03,-133.16584E-03
-9.02500E-03,-57.78791E-03
-9.00000E-03,-107.39704E-03
-8.97500E-03,-86.65232E-03
-8.95000E-03,-65.90760E-03
-8.92500E-03,-52.76383E-03
-8.90000E-03,-52.76383E-03
-8.87500E-03,-52.76383E-03
-8.85000E-03,-52.76383E-03
-8.82500E-03,-52.76383E-03
-8.80000E-03,-52.76383E-03
-8.77500E-03,-104.43112E-03
-8.75000E-03,-52.76383E-03
-8.72500E-03,-52.76383E-03
-8.70000E-03,-19.26439E-03
-8.67500E-03,+1.48033E-03
-8.65000E-03,+22.22505E-03
-8.62500E-03,+12.30657E-03
-8.60000E-03,-8.43815E-03
-8.57500E-03,-29.18287E-03
-8.55000E-03,-49.92759E-03
-8.52500E-03,+9.72969E-03
-8.50000E-03,-11.01503E-03
-8.47500E-03,-52.76383E-03
-8.45000E-03,-52.76383E-03
-8.42500E-03,+7.15281E-03
-8.40000E-03,-13.59191E-03
-8.37500E-03,-52.76383E-03
-8.35000E-03,-52.76383E-03
-8.32500E-03,-52.76383E-03
-8.30000E-03,-52.76383E-03
-8.27500E-03,-68.61416E-03
-8.25000E-03,-52.76383E-03
-8.22500E-03,-52.76383E-03
-8.20000E-03,-86.78200E-03
-8.17500E-03,-39.49039E-03
-8.15000E-03,-133.16584E-03
-8.12500E-03,-52.76383E-03
-8.10000E-03,-52.76383E-03
-8.07500E-03,-63.46040E-03
-8.05000E-03,-133.16584E-03
-8.02500E-03,-52.76383E-03
-8.00000E-03,-81.62824E-03
-7.97500E-03,-133.16584E-03
-7.95000E-03,-65.38887E-03
-7.92500E-03,-133.16584E-03
-7.90000E-03,-133.16584E-03
-7.87500E-03,-133.16584E-03
-7.85000E-03,-133.16584E-03
-7.82500E-03,-133.16584E-03
-7.80000E-03,-76.47448E-03
-7.77500E-03,-55.72976E-03
-7.75000E-03,-70.54264E-03
-7.72500E-03,-133.16584E-03
-7.70000E-03,-133.16584E-03
-7.67500E-03,-132.77680E-03
-7.65000E-03,-133.16584E-03
-7.62500E-03,-92.06544E-03
-7.60000E-03,-114.60896E-03
-7.57500E-03,-52.76383E-03
-7.55000E-03,-110.23328E-03
-7.52500E-03,-96.44112E-03
-7.50000E-03,-52.76383E-03
-7.47500E-03,-52.76383E-03
-7.45000E-03,-78.27328E-03
-7.42500E-03,-52.76383E-03
-7.40000E-03,-52.76383E-03
-7.37500E-03,-52.76383E-03
-7.35000E-03,-105.07952E-03
-7.32500E-03,-52.76383E-03
-7.30000E-03,-52.76383E-03
-7.27500E-03,-62.68231E-03
-7.25000E-03,-83.42704E-03
-7.22500E-03,-23.76975E-03
-7.20000E-03,-44.51447E-03
-7.17500E-03,-52.76383E-03
-7.15000E-03,-52.76383E-03
-7.12500E-03,-52.76383E-03
-7.10000E-03,-52.76383E-03
-7.07500E-03,-52.76383E-03
-7.05000E-03,-52.76383E-03
-7.02500E-03,-28.92351E-03
-7.00000E-03,-52.76383E-03
-6.97500E-03,-52.76383E-03
-6.95000E-03,-14.36999E-03
-6.92500E-03,-52.76383E-03
-6.90000E-03,-52.76383E-03
-6.87500E-03,-52.76383E-03
-6.85000E-03,-52.76383E-03
-6.82500E-03,+27.63817E-03
-6.80000E-03,+27.63817E-03
-6.77500E-03,-52.76383E-03
-6.75000E-03,-52.76383E-03
-6.72500E-03,+11.52849E-03
-6.70000E-03,-48.12880E-03
-6.67500E-03,-107.78608E-03
-6.65000E-03,-52.76383E-03
-6.62500E-03,-52.76383E-03
-6.60000E-03,-52.76383E-03
-6.57500E-03,-52.76383E-03
-6.55000E-03,-52.76383E-03
-6.52500E-03,+5.72633E-03
-6.50000E-03,-52.76383E-03
-6.47500E-03,-52.76383E-03
-6.45000E-03,-81.88760E-03
-6.42500E-03,-133.16584E-03
-6.40000E-03,-52.76383E-03
-6.37500E-03,-133.16584E-03
-6.35000E-03,-52.76383E-03
-6.32500E-03,-58.56600E-03
-6.30000E-03,-67.70639E-03
-6.27500E-03,-133.16584E-03
-6.25000E-03,-52.76383E-03
-6.22500E-03,-55.98912E-03
-6.20000E-03,-115.64640E-03
-6.17500E-03,-91.02800E-03
-6.15000E-03,-74.15696E-03
-6.12500E-03,-53.41224E-03
-6.10000E-03,-133.16584E-03
-6.07500E-03,-92.32480E-03
-6.05000E-03,-133.16584E-03
-6.02500E-03,-52.76383E-03
-6.00000E-03,-133.16584E-03
-5.97500E-03,-96.18176E-03
-5.95000E-03,-133.16584E-03
-5.92500E-03,-52.76383E-03
-5.90000E-03,-133.16584E-03
-5.87500E-03,-98.75864E-03
-5.85000E-03,-133.16584E-03
-5.82500E-03,-126.08361E-03
-5.80000E-03,-52.76383E-03
-5.77500E-03,-133.16584E-03
-5.75000E-03,-52.76383E-03
-5.72500E-03,-62.42295E-03
-5.70000E-03,-102.76200E-03
-5.67500E-03,-133.16584E-03
-5.65000E-03,-52.76383E-03
-5.62500E-03,-64.99983E-03
-5.60000E-03,-133.16584E-03
-5.57500E-03,-106.48928E-03
-5.55000E-03,-52.76383E-03
-5.52500E-03,+12.82530E-03
